id,syllabusRef,topic,media_src,media_file,prompt_en,answer_index,correct_choice_en
"jp_moto_0001","jp.moto.ch1-signs-signals","road_signs_signals","","","Mopeds are also allowed on roads marked with """"No Motorcycles Allowed"""" signs.","1","False"
"jp_moto_0002","jp.moto.ch1-signs-signals","road_signs_signals","","","When the yellow light signal is flashing, you can proceed with caution towards other traffic.","0","True"
"jp_moto_0003","jp.moto.ch1-signs-signals","road_signs_signals","","","In areas where there is a """"slow down"""" sign, you must proceed at a speed that allows you to apply t","0","True"
"jp_moto_0004","jp.moto.ch1-signs-signals","road_signs_signals","","","When a police officer raises his right arm vertically, traffic in front of him and behind him has th","0","True"
"jp_moto_0005","jp.moto.ch1-signs-signals","road_signs_signals","","","The """"Prohibition of proceeding outside the specified direction"""" sign prohibits proceeding in direc","0","True"
"jp_moto_0006","jp.moto.ch1-signs-signals","road_signs_signals","","","If there is a single yellow line drawn on the road on a two-way road, you must not overtake beyond t","0","True"
"jp_moto_0007","jp.moto.ch1-signs-signals","road_signs_signals","","","On roads with """"one-way"""" signs, motorcycles are also prohibited from proceeding in any direction ot","0","True"
"jp_moto_0008","jp.moto.ch1-signs-signals","road_signs_signals","","","The """"Level Crossing"""" warning sign alerts you that a railroad crossing is near and urges you to slo","0","True"
"jp_moto_0009","jp.moto.ch1-signs-signals","road_signs_signals","","","Even on roads where there are no """"maximum speed"""" signs, mopeds are subject to the legal maximum sp","0","True"
"jp_moto_0010","jp.moto.ch1-signs-signals","road_signs_signals","","","The signal to turn right or left must be given at least 3 seconds before the act begins.","0","True"
"jp_moto_0011","jp.moto.ch2-right-of-way","right_of_way_traffic_rules","","","When a vehicle is using the right-of-way at an intersection, vehicles approaching from other roads m","0","True"
"jp_moto_0012","jp.moto.ch2-right-of-way","right_of_way_traffic_rules","","","When roads of similar width intersect at an intersection without traffic lights, cars coming from th","0","True"
"jp_moto_0013","jp.moto.ch2-right-of-way","right_of_way_traffic_rules","","","Motorcycles may stop for a short period of time even in areas where parking is prohibited.","1","False"
"jp_moto_0014","jp.moto.ch2-right-of-way","right_of_way_traffic_rules","","","When an emergency vehicle approaches, you must stop immediately, even if you are inside an intersect","1","False"
"jp_moto_0015","jp.moto.ch2-right-of-way","right_of_way_traffic_rules","","","Even if the two-wheeled vehicle is a moped, it can be used on motor-vehicle roads.","1","False"
"jp_moto_0016","jp.moto.ch2-right-of-way","right_of_way_traffic_rules","","","When a pedestrian is about to cross a crosswalk, motorcycles must stop temporarily so as not to obst","0","True"
"jp_moto_0017","jp.moto.ch2-right-of-way","right_of_way_traffic_rules","","","You may overtake from the left side of the vehicle in front of you when it is in the center of the r","0","True"
"jp_moto_0018","jp.moto.ch2-right-of-way","right_of_way_traffic_rules","","","In principle, two-seater motorcycles are allowed, except for some sections of national expressways.","0","True"
"jp_moto_0019","jp.moto.ch2-right-of-way","right_of_way_traffic_rules","","","Even if changing course means changing the speed or direction of a vehicle approaching from behind, ","1","False"
"jp_moto_0020","jp.moto.ch2-right-of-way","right_of_way_traffic_rules","","","If there are vehicles passing through a roundabout, vehicles entering the roundabout must drive slow","0","True"
"jp_moto_0021","jp.moto.ch3-cornering","balance_cornering_techniques","","","When passing through a curve, it is safer to change direction using the steering wheel alone rather ","1","False"
"jp_moto_0022","jp.moto.ch3-cornering","balance_cornering_techniques","","","If you brake suddenly in the middle of a curve, there is a high risk that the tires will slip and yo","0","True"
"jp_moto_0023","jp.moto.ch3-cornering","balance_cornering_techniques","","","When balancing at low speeds, it's best to focus your gaze on one nearby point.","1","False"
"jp_moto_0024","jp.moto.ch3-cornering","balance_cornering_techniques","","","The smaller the radius of the curve, the smaller the bank angle required.","1","False"
"jp_moto_0025","jp.moto.ch3-cornering","balance_cornering_techniques","","","When negotiating a curve on a wet road, you may approach the curve at the same speed and angle as wh","1","False"
"jp_moto_0026","jp.moto.ch3-cornering","balance_cornering_techniques","","","If the car bulges out more than expected in the middle of a curve, it is safer to apply the brakes a","1","False"
"jp_moto_0027","jp.moto.ch1-signs-signals","road_signs_signals","","","In areas where there is a """"No Passing"""" sign, it is prohibited to overtake bicycles, even mopeds.","1","False"
"jp_moto_0028","jp.moto.ch1-signs-signals","road_signs_signals","","","A """"No Vehicles"""" sign prohibits all vehicles, including two-wheeled cars and mopeds, from passing t","0","True"
"jp_moto_0029","jp.moto.ch1-signs-signals","road_signs_signals","","","When approaching a railroad crossing without traffic lights, even if you are riding a motorcycle, yo","0","True"
"jp_moto_0030","jp.moto.ch1-signs-signals","road_signs_signals","","","A hand signal indicating a right turn can be made by extending the right arm horizontally, or by ext","0","True"
"jp_moto_0031","jp.moto.ch2-right-of-way","right_of_way_traffic_rules","","","When making a right turn at an intersection, motorcycles must first approach the center of the road ","1","False"
"jp_moto_0032","jp.moto.ch2-right-of-way","right_of_way_traffic_rules","","","At intersections where a """"two-stage right turn"""" is designated, mopeds must not make a short right ","0","True"
"jp_moto_0033","jp.moto.ch2-right-of-way","right_of_way_traffic_rules","","","Motorcycles that are being towed do not have priority overtaking for motorcycles, so they may freely","1","False"
"jp_moto_0034","jp.moto.ch2-right-of-way","right_of_way_traffic_rules","","","When a parked route bus is giving the signal to start, motorcycles behind the bus must not interfere","0","True"
"jp_moto_0035","jp.moto.ch2-right-of-way","right_of_way_traffic_rules","","","When a motorcycle passes another vehicle, it must pass on the right side of the vehicle being passed","0","True"
"jp_moto_0036","jp.moto.ch3-cornering","balance_cornering_techniques","","","Just before stopping, keep the steering wheel turned to make it easier to find your footing and stab","1","False"
"jp_moto_0037","jp.moto.ch3-cornering","balance_cornering_techniques","","","Before entering a curve, it is best to first release the accelerator and use both the front and rear","0","True"
"jp_moto_0038","jp.moto.ch3-cornering","balance_cornering_techniques","","","On downhill curves, it is safest to adjust the speed using only the front brake without using engine","1","False"
"jp_moto_0039","jp.moto.ch3-cornering","balance_cornering_techniques","","","When starting, it is easier to stabilize the vehicle by slowly opening the accelerator while using t","0","True"
"jp_moto_0040","jp.moto.ch3-cornering","balance_cornering_techniques","","","When driving on S-shaped roads or crank courses, the vehicle is stabilized primarily by shifting its","0","True"
"jp_moto_0041","jp.moto.ch3-cornering","balance_cornering_techniques","","","In curves on expressways, it is basic to drive at a larger angle of inclination than on curves on ge","1","False"
"jp_moto_0042","jp.moto.ch3-cornering","balance_cornering_techniques","","","When stopped, the basic idea is to keep both feet on the ground for balance.","0","True"
"jp_moto_0043","jp.moto.ch3-cornering","balance_cornering_techniques","","","When riding with two people, you can negotiate curves in the same way as when riding alone.","1","False"
"jp_moto_0044","jp.moto.ch3-cornering","balance_cornering_techniques","","","In a series of curves (a zigzag), as soon as you exit the first curve, you may accelerate to the max","1","False"
"jp_moto_0045","jp.moto.ch1-signs-signals","road_signs_signals","","","You must always honk your horn in areas where there is a """"honk your horn"""" sign, even if you are no","0","True"
"jp_moto_0046","jp.moto.ch4-visibility","blind_spots_visibility","","","The area directly behind the driver's seat and on the left side of a large truck tends to become a b","0","True"
"jp_moto_0047","jp.moto.ch4-visibility","blind_spots_visibility","","","Because motorcycles are small, they are easily overlooked by motorists, so it is important that they","0","True"
"jp_moto_0048","jp.moto.ch4-visibility","blind_spots_visibility","","","If you drive closely behind another vehicle, it may be difficult for the driver of that vehicle to s","0","True"
"jp_moto_0049","jp.moto.ch4-visibility","blind_spots_visibility","","","Although it may be difficult to see yourself at night due to the lights of an oncoming vehicle, the ","1","False"
"jp_moto_0050","jp.moto.ch4-visibility","blind_spots_visibility","","","If there is an oncoming vehicle waiting to turn right at an intersection, there is a risk that the m","0","True"
"jp_moto_0051","jp.moto.ch4-visibility","blind_spots_visibility","","","Motorcycle riders should get into the habit of moving their bodies while driving to visually check a","0","True"
"jp_moto_0052","jp.moto.ch4-visibility","blind_spots_visibility","","","On rainy days and at dusk, visibility of motorcycles is reduced, so it is recommended to wear a ligh","0","True"
"jp_moto_0053","jp.moto.ch4-visibility","blind_spots_visibility","","","Because motorcycles have small bodies and it is difficult to get a sense of their speed, motor vehic","0","True"
"jp_moto_0054","jp.moto.ch4-visibility","blind_spots_visibility","","","Pedestrians emerging from the side of parked buses and trucks can be difficult to see, not only for ","0","True"
"jp_moto_0055","jp.moto.ch4-visibility","blind_spots_visibility","","","Motorcycle riders only need to check what's behind them in their mirrors; they don't need to turn th","1","False"
"jp_moto_0056","jp.moto.ch5-lane-surface","lane_position_road_surface","","","If you drive in the center of the lane, you may be susceptible to uneven road surfaces or gravel, so","0","True"
"jp_moto_0057","jp.moto.ch5-lane-surface","lane_position_road_surface","","","If you cross railroad tracks (streetcar tracks) diagonally, your tires are likely to get stuck in th","0","True"
"jp_moto_0058","jp.moto.ch5-lane-surface","lane_position_road_surface","","","Manhole covers and painted white lines can become slippery, especially in the rain.","0","True"
"jp_moto_0059","jp.moto.ch5-lane-surface","lane_position_road_surface","","","When passing over a steel plate (temporary cover) at a construction site, etc., it is safer to incre","1","False"
"jp_moto_0060","jp.moto.ch5-lane-surface","lane_position_road_surface","","","When driving on the left edge of the road, the part of the road where gravel and fallen leaves have ","0","True"
"jp_moto_0061","jp.moto.ch5-lane-surface","lane_position_road_surface","","","There is a large difference in light and darkness near the entrance and exit of the tunnel, and visi","0","True"
"jp_moto_0062","jp.moto.ch5-lane-surface","lane_position_road_surface","","","In order to make your presence more visible to oncoming vehicles, it is best to choose a position wi","0","True"
"jp_moto_0063","jp.moto.ch5-lane-surface","lane_position_road_surface","","","Fallen leaves and sand that accumulate near the center of the road can be more slippery than dry roa","0","True"
"jp_moto_0064","jp.moto.ch5-lane-surface","lane_position_road_surface","","","On roads with ruts (wheel divots), it is always safer to drive between the ruts (raised areas) than ","1","False"
"jp_moto_0065","jp.moto.ch5-lane-surface","lane_position_road_surface","","","At expressway merging points, it is best to merge at the same speed while maintaining a position tha","0","True"
"jp_moto_0066","jp.moto.ch6-weather","weather_hazards","","","On rainy days, tires can be slippery over manholes and white lines, so it's best to avoid them as mu","0","True"
"jp_moto_0067","jp.moto.ch6-weather","weather_hazards","","","Motorcycles must be especially careful right after it starts raining, as oil and dust on the road su","0","True"
"jp_moto_0068","jp.moto.ch6-weather","weather_hazards","","","On bridges where strong crosswinds blow, it is easy for motorcycles to lose control of the steering ","0","True"
"jp_moto_0069","jp.moto.ch6-weather","weather_hazards","","","In rainy weather, when applying the brakes on a two-wheeled vehicle, it is a good idea to apply stro","1","False"
"jp_moto_0070","jp.moto.ch6-weather","weather_hazards","","","When driving in thick fog, it's a good idea to turn on your tail lights and fog lights to alert othe","0","True"
"jp_moto_0071","jp.moto.ch6-weather","weather_hazards","","","If the asphalt is softened on a hot summer day, the tires of a motorcycle may sink, making it easier","0","True"
"jp_moto_0072","jp.moto.ch6-weather","weather_hazards","","","Roads covered with fallen leaves can be slippery even on sunny days, so motorcyclists need to be car","0","True"
"jp_moto_0073","jp.moto.ch6-weather","weather_hazards","","","Riding a motorcycle on snowy or icy roads should be avoided, and if possible, it is desirable to ref","0","True"
"jp_moto_0074","jp.moto.ch6-weather","weather_hazards","","","Visibility is poor at night or in rainy weather, so motorcycles should slow down and maintain a wide","0","True"
"jp_moto_0075","jp.moto.ch6-weather","weather_hazards","","","Not only is the area near the entrance and exit of the tunnel markedly different from bright to dark","0","True"
