id,topic,syllabus_ref,difficulty,is_hazard,prompt_ja,prompt_en,prompt_my,choice_a_ja,choice_b_ja,choice_a_en,choice_b_en,correct_answer,explanation_ja,explanation_en,explanation_my,hazard_p1_en,hazard_p1_answer,hazard_p2_en,hazard_p2_answer,hazard_p3_en,hazard_p3_answer,image_filename,media_src,verified,reviewer_notes
jp_car_0001,karimen_road_signs,jp.car.karimen.ch1-signs,easy,N,丸い標識に「30」と書かれている場合、それはその区間における最高速度を表している。,"When a round sign shows ""30,"" it indicates the maximum speed for that section.","စက်ဝိုင်းပုံစံဆိုင်းဘုတ်တွင် ""30"" ဟု ရေးထားလျှင် ၎င်းသည် ထိုလမ်းပိုင်းအတွက် အမြန်ဆုံးအရှိန်ကန့်သတ်ချက်ကို ဖော်ပြသည်။",正しい,誤り,True,False,A,赤い円に数字が書かれた標識は最高速度を示し、その数字を超える速度で走行してはならない。,"A sign with a number written in a red circle indicates the maximum speed, and you must not drive faster than that number.",အနီရောင်စက်ဝိုင်းအတွင်း ဂဏန်းပါသော ဆိုင်းဘုတ်သည် အမြန်ဆုံးအရှိန်ကို ဖော်ပြပြီး ထိုဂဏန်းထက် မြန်စွာမောင်းနှင်ခွင့်မရှိ။,,,,,,,,,PENDING,
jp_car_0002,karimen_road_signs,jp.car.karimen.ch1-signs,easy,N,踏切や急カーブの手前に設置される、黄色地に赤枠の三角形の標識は、前方の危険を運転者に知らせる警戒標識である。,"Triangular warning signs with a yellow background and red border, placed before railroad crossings or sharp curves, alert drivers to hazards ahead.",မီးရထားလမ်းဖြတ် သို့မဟုတ် ကောက်ကွေ့မတိုင်မီ တပ်ဆင်သော အဝါရောင်နောက်ခံနှင့် အနီရောင်အနားသတ်ပါ သုံးဆင့်ဆိုင်းဘုတ်သည် ရှေ့ရှိ အန္တရာယ်ကို မောင်းသူအား သတိပေးသော သတိပေးဆိုင်းဘုတ်ဖြစ်သည်။,正しい,誤り,True,False,A,黄色地に赤枠の三角標識は警戒標識で、カーブや踏切など前方の危険な状況を運転者に知らせる。,"A triangular sign with a red frame on a yellow background is a warning sign that alerts drivers to dangerous situations ahead, such as curves and railroad crossings.",အဝါရောင်နောက်ခံနှင့် အနီရောင်အနားသတ်ပါသော သုံးဆင့်ဆိုင်းဘုတ်သည် ရှေ့ရှိ အန္တရာယ်ရှိသော အခြေအနေများကို မောင်းသူအား သတိပေးသည်။,,,,,,,,,PENDING,
jp_car_0003,karimen_road_signs,jp.car.karimen.ch1-signs,easy,N,「一方通行」の標識がある道路では、矢印で示された方向以外への進行は禁止されている。,"On roads with ""one-way"" signs, it is prohibited to proceed in any direction other than the direction indicated by the arrow.","""တစ်ဖက်သွားလမ်း"" ဆိုင်းဘုတ်ရှိသော လမ်းတွင် မြှားပြထားသော ဦးတည်ရာမှလွဲ၍ အခြားဦးတည်ရာသို့ သွားခွင့်မရှိ။",正しい,誤り,True,False,A,一方通行の標識は青地に白矢印で進行方向を指定し、逆走は重大な交通違反となる。,"One-way traffic signs indicate the direction of travel with a white arrow on a blue background, and driving in the wrong direction is a serious traffic violation.",တစ်ဖက်သွားလမ်းဆိုင်းဘုတ်သည် အပြာရောင်နောက်ခံတွင် အဖြူရောင်မြှားဖြင့် သွားရမည့်ဦးတည်ရာကို သတ်မှတ်ပြီး ပြောင်းပြန်မောင်းခြင်းသည် ပြင်းထန်သော ဥပဒေချိုးဖောက်မှုဖြစ်သည်။,,,,,,,,,PENDING,
jp_car_0004,karimen_road_signs,jp.car.karimen.ch1-signs,medium,N,「徐行」の標識がある場所では、車はすぐに停止できる速度まで落とさなければならない。,"Where there is a ""slow down"" sign, vehicles must reduce their speed to a point where they can stop immediately.","""အရှိန်လျှော့မောင်းပါ"" ဆိုင်းဘုတ်ရှိသည့်နေရာတွင် ကားသည် ချက်ချင်းရပ်တန့်နိုင်သည့်အရှိန်အထိ လျှော့ရမည်။",正しい,誤り,True,False,A,徐行とは直ちに停止できる速度のことであり、おおむね時速10km以下を意味する。,"Slow speed refers to the speed at which you can stop immediately, and generally means 10km/h or less.",အရှိန်လျှော့မောင်းခြင်းဆိုသည်မှာ ချက်ချင်းရပ်တန့်နိုင်သည့်အရှိန်ဖြစ်ပြီး အတော်အားဖြင့် နာရီပိုင်း ၁၀ ကီလိုမီတာအောက်ဖြစ်သည်။,,,,,,,,,PENDING,
jp_car_0005,karimen_road_signs,jp.car.karimen.ch1-signs,easy,N,「止まれ」の標識がある交差点では、車は一時停止線で完全に停止する必要はなく減速すればよい。,"At intersections with ""stop"" signs, cars do not need to come to a complete stop at the stop line; they only need to slow down.","""ရပ်ပါ"" ဆိုင်းဘုတ်ရှိသော လမ်းဆုံတွင် ကားသည် ခေတ္တရပ်လိုင်းတွင် အပြည့်အဝမရပ်ဘဲ အရှိန်လျှော့ရုံဖြင့် မေားနိုင်သည်။",正しい,誤り,True,False,B,「止まれ」の標識では停止線の直前で完全に停止し、安全を確認してから進行しなければならない。,"At a ""stop"" sign, you must come to a complete stop just before the stop line and proceed after making sure it is safe.","""ရပ်ပါ"" ဆိုင်းဘုတ်တွင် ခေတ္တရပ်လိုင်းရှေ့မှာ အပြည့်အဝရပ်ပြီး ဘေးကင်းမှုကို စစ်ဆေးပြီးမှ ဆက်သွားရမည်။",,,,,,,,,PENDING,
jp_car_0006,karimen_road_signs,jp.car.karimen.ch1-signs,medium,N,「車両通行止め」と「車両進入禁止」は同じ意味であり、どちらも全車両の進入を禁止する。,"""Closed to vehicles"" and ""vehicles prohibited"" have the same meaning, and both prohibit all vehicles from entering.","""ယာဉ်သွားလာခွင့်ပိတ်"" နှင့် ""ယာဉ်ဝင်ခွင့်မရှိ"" တို့သည် တူညီသောအဓိပ္ပာယ်ဖြစ်ပြီး နှစ်ခုစလုံးက ယာဉ်အားလုံးဝင်ခွင့်ကို တားမြစ်သည်။",正しい,誤り,True,False,B,「車両通行止め」は両方向からの進入を禁止するが、「車両進入禁止」は一方向からの進入のみを禁止する標識である。,"""Closed to Vehicles"" is a sign that prohibits entry from both directions, but ""No Vehicles Entry"" is a sign that prohibits entry from only one direction.","""ယာဉ်သွားလာခွင့်ပိတ်"" သည် ဦးတည်ရာနှစ်ဖက်စလုံးမှ ဝင်ခွင့်ကို ပိတ်ပင်ပြီး ""ယာဉ်ဝင်ခွင့်မရှိ"" သည် တစ်ဖက်ဦးတည်ရာမှသာ ဝင်ခွင့်ကို ပိတ်ပင်သည့် ဆိုင်းဘုတ်ဖြစ်သည်။",,,,,,,,,PENDING,
jp_car_0007,karimen_road_signs,jp.car.karimen.ch1-signs,easy,N,「駐車禁止」の標識がある道路でも、5分以内であれば荷物の積み下ろしのために停車することができる。,"Even on roads with ""no parking"" signs, you can stop for up to 5 minutes to load or unload your luggage.","""ကားရပ်နားခွင့်မရှိ"" ဆိုင်းဘုတ်ရှိသော လမ်းတွင်လည်း ၅ မိနစ်အတွင်းဖြစ်လျှင် ပစ္စည်းတင်/ချရန် ခေတ္တရပ်နားနိုင်သည်။",正しい,誤り,True,False,A,駐車禁止は長時間の駐車を禁じるものであり、運転者がすぐ移動できる短時間の停車（5分以内の荷物の積み下ろし等）は認められる。,"The parking ban prohibits long-term parking, but short-term stops that allow the driver to move on quickly (such as loading and unloading luggage within 5 minutes) are permitted.",ကားရပ်နားခွင့်မရှိ ဆိုင်းဘုတ်သည် ကြာရှည်ရပ်နားခြင်းကိုသာ တားမြစ်ပြီး မောင်းသူ ချက်ချင်းရွေ့နိုင်သော ခေတ္တရပ်နားခြင်း (၅ မိနစ်အတွင်း ပစ္စည်းတင်ချခြင်းကဲ့သို့) ကို ခွင့်ပြုသည်။,,,,,,,,,PENDING,
jp_car_0008,karimen_road_signs,jp.car.karimen.ch1-signs,medium,N,「優先道路」の標識がある道路を走る車は、交差する道路の車に対して進路を譲る必要がない。,"Vehicles driving on roads with ""priority road"" signs do not have to yield to vehicles on intersecting roads.","""ဦးစားပေးလမ်း"" ဆိုင်းဘုတ်ရှိသော လမ်းပေါ်တွင် မောင်းနှင်နေသော ကားသည် ဆုံစည်းသည့်လမ်းမှ ကားများအတွက် လမ်းဖယ်ပေးရန် မလိုအပ်ပါ။",正しい,誤り,True,False,A,優先道路を走行する車は、交差する一般道路から進入する車に対して優先権を持つため、進路を譲る義務はない。,"Vehicles driving on priority roads have the right of way over vehicles approaching from intersecting general roads, so there is no obligation to yield to them.",ဦးစားပေးလမ်းပေါ်မှ မောင်းနှင်နေသောကားသည် ဆုံစည်းသောလမ်းမှ ဝင်လာသောကားများအတွက် ဦးစားပေးခွင့်ရှိသောကြောင့် လမ်းဖယ်ပေးရန် တာဝန်မရှိပါ။,,,,,,,,,PENDING,
jp_car_0009,karimen_road_signs,jp.car.karimen.ch1-signs,hard,N,補助標識に「大型車等」と表示されている規制標識は、普通自動車には適用されない。,"Regulation signs that display ""Large Vehicles, etc."" on the auxiliary sign do not apply to regular vehicles.","ထောက်ခံဆိုင်းဘုတ်တွင် ""ကားအကြီးစားအစရှိသည်"" ဟု ဖော်ပြထားသော ကန့်သတ်ဆိုင်းဘုတ်သည် ပုံမှန်ကားများအတွက် သက်ဆိုင်ခြင်းမရှိ။",正しい,誤り,True,False,A,補助標識で対象車種が限定されている場合、その規制はその車種にのみ適用され、普通自動車は対象外となる。,"If a supplementary sign restricts the applicable vehicle types, the regulation applies only to that vehicle type and does not apply to regular cars.",ထောက်ခံဆိုင်းဘုတ်တွင် ယာဉ်အမျိုးအစား ကန့်သတ်ထားလျှင် ထိုကန့်သတ်ချက်သည် ထိုယာဉ်အမျိုးအစားကိုသာ သက်ဆိုင်ပြီး ပုံမှန်ကားများအတွက် မသက်ဆိုင်ပါ။,,,,,,,,,PENDING,
jp_car_0010,karimen_road_signs,jp.car.karimen.ch1-signs,medium,N,「指定方向外進行禁止」の標識で右折の矢印のみが示されている場合、その地点では右折以外の進行はできない。,"If a ""no entry except in the direction shown"" sign displays only a right-turn arrow, you may not proceed in any direction other than right at that location.","""သတ်မှတ်ဦးတည်ရာမှလွဲ၍ သွားခွင့်မရှိ"" ဆိုင်းဘုတ်တွင် ညာဘက်ကွေ့မြှားသာ ပြထားလျှင် ထိုနေရာတွင် ညာဘက်ကွေ့ခြင်းမှလွဲ၍ အခြားသွားလာခြင်း မပြုနိုင်ပါ။",正しい,誤り,True,False,A,矢印で示された方向のみ進行が許可され、それ以外の方向（直進や左折など）への進行は禁止される。,"Travel is only permitted in the direction indicated by the arrow, and travel in other directions (such as going straight or turning left) is prohibited.",မြှားဖြင့်ပြထားသော ဦးတည်ရာသို့သာ သွားလာခွင့်ပြုပြီး အခြားဦးတည်ရာများ (တည့်တည့်သွားခြင်း သို့မဟုတ် ဘယ်ဘက်ကွေ့ခြင်း) သို့ သွားလာခွင့်မရှိပါ။,,,,,,,,,PENDING,
