id,syllabusRef,topic,media_src,media_file,prompt_en,answer_index,correct_choice_en
"sg_ftt_0001","ftt.expressway","expressway_driving","","","On the expressway, which lane should you normally use when not overtaking?","1","The leftmost lane suitable for your speed"
"sg_ftt_0002","ftt.expressway","expressway_driving","","","What is the general minimum speed limit on most Singapore expressways unless otherwise signed?","2","60 km/h"
"sg_ftt_0003","ftt.expressway","expressway_driving","","","When merging onto an expressway from a slip road, you should:","2","Match the speed of expressway traffic before merging and use the acceleration la"
"sg_ftt_0004","ftt.skills.overtaking","expressway_driving","","","What does an ERP (Electronic Road Pricing) gantry on the expressway do?","1","Automatically deducts a toll charge from the vehicle's cashcard or account as it"
"sg_ftt_0005","ftt.expressway","expressway_driving","","","If your vehicle breaks down on the expressway and cannot be moved, what should you do first?","1","Turn on hazard lights, place a warning triangle behind the vehicle, and get all "
"sg_ftt_0006","ftt.expressway","expressway_driving","","","What is the maximum speed limit for cars on most Singapore expressways unless otherwise stated?","0","90 km/h"
"sg_ftt_0007","ftt.skills.lanes","expressway_driving","","","You want to exit the expressway at the next exit, which is 500 m away, but you are in the leftmost l","2","Stay in the lane, signal early, and reduce speed gradually for the exit"
"sg_ftt_0008","ftt.skills.lanes","expressway_driving","","","On a heavy-traffic expressway, a vehicle ahead in your lane suddenly slows for no apparent reason. W","2","Ease off the accelerator early, increase following distance, and check mirrors b"
"sg_ftt_0009","ftt.traffic.defensive","defensive_driving","","","What is the main purpose of defensive driving?","1","To anticipate hazards and the mistakes of others in order to avoid collisions"
"sg_ftt_0010","ftt.traffic.vehicle_ahead","defensive_driving","","","What following distance rule helps you maintain a safe gap in normal dry conditions?","2","The 'two-second rule', increasing to four seconds or more in poor conditions"
"sg_ftt_0011","ftt.traffic.vehicle_ahead","defensive_driving","","","While driving in heavy rain at night, what change should you make compared to normal daytime driving","0","Reduce speed, increase following distance, and use low-beam headlights with wipe"
"sg_ftt_0012","ftt.traffic.defensive","defensive_driving","","","You see a ball roll out from between parked cars onto a residential road ahead. What should a defens","2","Slow down immediately and be prepared to stop, anticipating a child may follow t"
