id,syllabusRef,topic,media_src,media_file,prompt_en,answer_index,correct_choice_en
"jp_car_0001","jp.car.karimen.ch1-signs","karimen_road_signs","","","When a round sign shows """"30,"""" it indicates the maximum speed for that section.","0","True"
"jp_car_0002","jp.car.karimen.ch1-signs","karimen_road_signs","","","Triangular warning signs with a yellow background and red border, placed before railroad crossings o","0","True"
"jp_car_0003","jp.car.karimen.ch1-signs","karimen_road_signs","","","On roads with """"one-way"""" signs, it is prohibited to proceed in any direction other than the directi","0","True"
"jp_car_0004","jp.car.karimen.ch1-signs","karimen_road_signs","","","Where there is a """"slow down"""" sign, vehicles must reduce their speed to a point where they can stop","0","True"
"jp_car_0005","jp.car.karimen.ch1-signs","karimen_road_signs","","","At intersections with """"stop"""" signs, cars do not need to come to a complete stop at the stop line; ","1","False"
"jp_car_0006","jp.car.karimen.ch1-signs","karimen_road_signs","","","""""Closed to vehicles"""" and """"vehicles prohibited"""" have the same meaning, and both prohibit all vehi","1","False"
"jp_car_0007","jp.car.karimen.ch1-signs","karimen_road_signs","","","Even on roads with """"no parking"""" signs, you can stop for up to 5 minutes to load or unload your lug","0","True"
"jp_car_0008","jp.car.karimen.ch1-signs","karimen_road_signs","","","Vehicles driving on roads with """"priority road"""" signs do not have to yield to vehicles on intersect","0","True"
"jp_car_0009","jp.car.karimen.ch1-signs","karimen_road_signs","","","Regulation signs that display """"Large Vehicles, etc."""" on the auxiliary sign do not apply to regular","0","True"
"jp_car_0010","jp.car.karimen.ch1-signs","karimen_road_signs","","","If a """"no entry except in the direction shown"""" sign displays only a right-turn arrow, you may not p","0","True"
"jp_car_0011","jp.car.karimen.ch1-signs","karimen_road_signs","","","""""Railroad crossing ahead"""" warning signs are placed before crossings without signals to remind driv","0","True"
"jp_car_0012","jp.car.karimen.ch1-signs","karimen_road_signs","","","Mopeds and light vehicles may also use roads marked with motor-vehicle-only signs.","1","False"
"jp_car_0013","jp.car.karimen.ch1-signs","karimen_road_signs","","","A """"crosswalk"""" sign indicates that there is a place for pedestrians to cross the road at that point","0","True"
"jp_car_0014","jp.car.karimen.ch1-signs","karimen_road_signs","","","You cannot pass the vehicle in front of you in areas where there is a """"No Passing"""" sign, but there","0","True"
"jp_car_0015","jp.car.karimen.ch1-signs","karimen_road_signs","","","On roads with a maximum-width sign, vehicles wider than the indicated width may not pass.","0","True"
"jp_car_0016","jp.car.karimen.ch2-priority","karimen_right_of_way","","","If the roads are the same width at an intersection without traffic lights, cars coming from the left","0","True"
"jp_car_0017","jp.car.karimen.ch2-priority","karimen_right_of_way","","","Vehicles turning right at an intersection can pass ahead of oncoming vehicles going straight or turn","1","False"
"jp_car_0018","jp.car.karimen.ch2-priority","karimen_right_of_way","","","When an emergency vehicle approaches, you must avoid the intersection and stop on the left side of t","0","True"
"jp_car_0019","jp.car.karimen.ch2-priority","karimen_right_of_way","","","At roundabouts, vehicles already on the ring road have priority over incoming vehicles.","0","True"
"jp_car_0020","jp.car.karimen.ch2-priority","karimen_right_of_way","","","If a pedestrian is attempting to cross at a crosswalk, vehicles must stop and do not obstruct the pe","0","True"
"jp_car_0021","jp.car.karimen.ch2-priority","karimen_right_of_way","","","When it is difficult to pass each other on a narrow, hilly road, the general rule is for cars going ","0","True"
"jp_car_0022","jp.car.karimen.ch2-priority","karimen_right_of_way","","","When a narrow road and a wide road intersect, where there are no traffic restrictions, cars on the w","0","True"
"jp_car_0023","jp.car.karimen.ch2-priority","karimen_right_of_way","","","When a streetcar is approaching from behind, cars running on the tracks must quickly move off the tr","0","True"
"jp_car_0024","jp.car.karimen.ch2-priority","karimen_right_of_way","","","When a vehicle enters a road where a pedestrian is crossing, the vehicle may be given priority over ","1","False"
"jp_car_0025","jp.car.karimen.ch2-priority","karimen_right_of_way","","","When a police officer is directing traffic using hand signals at an intersection, the police officer","0","True"
"jp_car_0026","jp.car.karimen.ch3-speed-parking","karimen_speed_limits_parking","","","The legal maximum speed for regular cars on public roads without posted speed limits is 60 kilometer","0","True"
"jp_car_0027","jp.car.karimen.ch3-speed-parking","karimen_speed_limits_parking","","","Within 5 meters of a fire hydrant, both parking and stopping are prohibited.","0","True"
"jp_car_0028","jp.car.karimen.ch3-speed-parking","karimen_speed_limits_parking","","","On roads marked with a """"maximum speed limit of 40km/h"""", speeds may be increased to 50km/h in rainy","1","False"
"jp_car_0029","jp.car.karimen.ch3-speed-parking","karimen_speed_limits_parking","","","Where there is a """"No Parking"""" sign, stopping for short periods of time to load or unload cargo is ","0","True"
"jp_car_0030","jp.car.karimen.ch3-speed-parking","karimen_speed_limits_parking","","","When parking on the road at night, there is no problem even if you do not turn on taillights or park","1","False"
"jp_car_0031","jp.car.karimen.ch3-speed-parking","karimen_speed_limits_parking","","","By law, it is prohibited not only to park but also to stop near the top of a hill or inside a tunnel","0","True"
"jp_car_0032","jp.car.karimen.ch3-speed-parking","karimen_speed_limits_parking","","","Parking or stopping is prohibited within 5 meters of the side edge of an intersection.","0","True"
"jp_car_0033","jp.car.karimen.ch3-speed-parking","karimen_speed_limits_parking","","","On roads where there is a """"minimum speed 50 km/h"""" sign, you can drive slower than that without any","1","False"
"jp_car_0034","jp.car.karimen.ch3-speed-parking","karimen_speed_limits_parking","","","Parking is prohibited on the road within 3 meters of the entrance to a garage or parking lot.","0","True"
"jp_car_0035","jp.car.karimen.ch3-speed-parking","karimen_speed_limits_parking","","","Parking within 10 meters of a bus stop sign is prohibited at all times, regardless of bus operating ","1","False"
"jp_car_0036","jp.car.honmen.ch1-expressway","honmen_expressway","","","The maximum speed for regular vehicles on the main road of an expressway is 100 km/h unless otherwis","0","True"
"jp_car_0037","jp.car.honmen.ch1-expressway","honmen_expressway","","","There is a minimum speed limit on the main lanes of expressways, which is 50 km/h unless there are s","0","True"
"jp_car_0038","jp.car.honmen.ch1-expressway","honmen_expressway","","","When entering a freeway, you should use the acceleration lane to get closer to the speed of cars on ","0","True"
"jp_car_0039","jp.car.honmen.ch1-expressway","honmen_expressway","","","If your tire becomes flat while driving on the highway, there is no problem even if you stop immedia","1","False"
"jp_car_0040","jp.car.honmen.ch1-expressway","honmen_expressway","","","Mopeds and motorcycles under 125cc are not allowed on expressways.","0","True"
"jp_car_0041","jp.car.honmen.ch1-expressway","honmen_expressway","","","Minimum speed regulations will temporarily no longer apply if vehicles continue to drive at low spee","0","True"
"jp_car_0042","jp.car.honmen.ch1-expressway","honmen_expressway","","","The roadside strip (shoulder) of an expressway is a space for emergency vehicles, and as a general r","0","True"
"jp_car_0043","jp.car.honmen.ch1-expressway","honmen_expressway","","","If you make a mistake while driving on the expressway, you can immediately check if it is safe and t","1","False"
"jp_car_0044","jp.car.honmen.ch1-expressway","honmen_expressway","","","Before driving on the highway, it is advisable to check the fuel, coolant, tire pressure, etc.","0","True"
"jp_car_0045","jp.car.honmen.ch1-expressway","honmen_expressway","","","When following a car in front on a highway, the faster the speed, the longer the distance between th","0","True"
"jp_car_0046","jp.car.honmen.ch1-expressway","honmen_expressway","","","When exiting a highway onto a local road, the correct method is to enter the deceleration lane and t","0","True"
"jp_car_0047","jp.car.honmen.ch1-expressway","honmen_expressway","","","The uphill lane on an expressway is a lane for slow-moving large vehicles and is prohibited for gene","0","True"
"jp_car_0048","jp.car.honmen.ch1-expressway","honmen_expressway","","","In the case of a fire that occurs on a highway, if it is difficult to extinguish the fire, you shoul","0","True"
"jp_car_0049","jp.car.honmen.ch1-expressway","honmen_expressway","","","In expressway service areas and parking areas, there is no problem even if you park for a long time ","1","False"
"jp_car_0050","jp.car.honmen.ch1-expressway","honmen_expressway","","","If you are forced to stop due to a breakdown on the main road of a highway, you should move to a saf","0","True"
"jp_car_0051","jp.car.honmen.ch1-expressway","honmen_expressway","","","If you feel drowsy while driving on the expressway, you should go to a service area and take a break","0","True"
"jp_car_0052","jp.car.honmen.ch1-expressway","honmen_expressway","","","If there is a chain restriction on the expressway, you do not need to wear chains if you are wearing","1","False"
"jp_car_0053","jp.car.honmen.ch1-expressway","honmen_expressway","","","As a general rule, overtaking on expressways must be done using the right lane.","0","True"
"jp_car_0054","jp.car.honmen.ch1-expressway","honmen_expressway","","","Vehicles not equipped with ETC can also enter the gates marked """"ETC only"""" at expressway entrances.","1","False"
"jp_car_0055","jp.car.honmen.ch1-expressway","honmen_expressway","","","At expressway junctions, vehicles traveling on the main road have a legal obligation to yield to mer","1","False"
"jp_car_0056","jp.car.honmen.ch2-intersections","honmen_right_of_way_intersections","","","When turning right at an intersection, you only need to pay attention to the vehicle in the rightmos","1","False"
"jp_car_0057","jp.car.honmen.ch2-intersections","honmen_right_of_way_intersections","","","Even if there is a green light at an intersection with a traffic light, if there are pedestrians who","0","True"
"jp_car_0058","jp.car.honmen.ch2-intersections","honmen_right_of_way_intersections","","","If there is a sign indicating an area where animals may jump out, drivers should slow down and be pr","0","True"
"jp_car_0059","jp.car.honmen.ch2-intersections","honmen_right_of_way_intersections","","","When vehicles enter an unsignalized intersection from multiple directions at the same time, the larg","1","False"
"jp_car_0060","jp.car.honmen.ch2-intersections","honmen_right_of_way_intersections","","","Vehicles waiting to make a right turn at an intersection may wait just inside the center of the inte","0","True"
"jp_car_0061","jp.car.honmen.ch2-intersections","honmen_right_of_way_intersections","","","Even if there is no """"stop"""" sign at an intersection, you should drive slowly at intersections with ","0","True"
"jp_car_0062","jp.car.honmen.ch2-intersections","honmen_right_of_way_intersections","","","When a yellow light turns on at an intersection with traffic lights, vehicles immediately in front o","0","True"
"jp_car_0063","jp.car.honmen.ch2-intersections","honmen_right_of_way_intersections","","","If your path is likely to be blocked at an intersection, you may enter the intersection even if you ","1","False"
"jp_car_0064","jp.car.honmen.ch2-intersections","honmen_right_of_way_intersections","","","At intersections where the traffic lights are flashing red, cars can temporarily stop and ensure it ","0","True"
"jp_car_0065","jp.car.honmen.ch2-intersections","honmen_right_of_way_intersections","","","At intersections with flashing yellow lights, you can proceed with caution towards other traffic.","0","True"
"jp_car_0066","jp.car.honmen.ch2-intersections","honmen_right_of_way_intersections","","","Vehicles approaching from a side road that meets the main line at a T-junction must always yield to ","0","True"
"jp_car_0067","jp.car.honmen.ch2-intersections","honmen_right_of_way_intersections","","","When making a right turn at an intersection, the correct way is to approach the center of the road a","1","False"
"jp_car_0068","jp.car.honmen.ch2-intersections","honmen_right_of_way_intersections","","","When making a left turn at an intersection, you should make a short turn along the left edge of the ","0","True"
"jp_car_0069","jp.car.honmen.ch2-intersections","honmen_right_of_way_intersections","","","If there is an oncoming vehicle making a right turn at the intersection in front of you, you can pas","0","True"
"jp_car_0070","jp.car.honmen.ch2-intersections","honmen_right_of_way_intersections","","","When lanes are restricted near an intersection due to construction, etc., cars driving in unrestrict","1","False"
"jp_car_0071","jp.car.honmen.ch3-signs-signals","honmen_road_signs_signals","","","If only the right arrow is lit on an arrow signal, only vehicles making a right turn may proceed dur","0","True"
"jp_car_0072","jp.car.honmen.ch3-signs-signals","honmen_road_signs_signals","","","At intersections where the traffic lights indicate """"pedestrian and vehicle separation"""", the vehicl","0","True"
"jp_car_0073","jp.car.honmen.ch3-signs-signals","honmen_road_signs_signals","","","At intersections with """"Left Turn Allowed"""" signs, you can make a left turn even if the light is red","0","True"
"jp_car_0074","jp.car.honmen.ch3-signs-signals","honmen_road_signs_signals","","","If the vehicle traffic light is green and the """"pedestrian/bicycle only"""" light below it is red, bic","0","True"
"jp_car_0075","jp.car.honmen.ch3-signs-signals","honmen_road_signs_signals","","","Where there is a road marking (solid yellow line) indicating the """"center line,"""" do not cross the l","0","True"
"jp_car_0076","jp.car.honmen.ch3-signs-signals","honmen_road_signs_signals","","","Where there is a center line marked with a dashed white line, drivers may cross the line to overtake","0","True"
"jp_car_0077","jp.car.honmen.ch3-signs-signals","honmen_road_signs_signals","","","A diamond-shaped mark on the road warns you that there is a crosswalk or bicycle crossing zone ahead","0","True"
"jp_car_0078","jp.car.honmen.ch3-signs-signals","honmen_road_signs_signals","","","The """"Regulation Notice"""" signboard indicates roughly the same regulations as the point at which the","0","True"
