id,topic,expected_tag,expected_image,actual_image,match,prompt_ja
"jp_car_0001","karimen_road_signs","speed_limit","jp-speed-limit.png","jp-speed-limit.png","yes","丸い標識に「30」と書かれている場合、それはその区間における最高速度を表している。"
"jp_car_0002","karimen_road_signs","warning","jp-warning.png","jp-warning.png","yes","三角形で赤い縁取りの標識は、警戒標識であり前方の危険を予告している。"
"jp_car_0003","karimen_road_signs","one_way","jp-one-way.png","jp-one-way.png","yes","「一方通行」の標識がある道路では、矢印で示された方向以外への進行は禁止されている。"
"jp_car_0004","karimen_road_signs","topic_default","jp-warning.png","jp-warning.png","yes","「徐行」の標識がある場所では、車はすぐに停止できる速度まで落とさなければならない。"
"jp_car_0005","karimen_road_signs","stop","jp-stop.png","jp-stop.png","yes","「止まれ」の標識がある交差点では、車は一時停止線で完全に停止する必要はなく減速すればよい。"
"jp_car_0006","karimen_road_signs","no_entry","jp-no-entry.png","jp-no-entry.png","yes","「車両通行止め」と「車両進入禁止」は同じ意味であり、どちらも全車両の進入を禁止する。"
"jp_car_0007","karimen_road_signs","parking","jp-parking.png","jp-parking.png","yes","「駐車禁止」の標識がある道路でも、5分以内であれば荷物の積み下ろしのために停車することができる。"
"jp_car_0008","karimen_road_signs","give_way","jp-give-way.png","jp-give-way.png","yes","「優先道路」の標識がある道路を走る車は、交差する道路の車に対して進路を譲る必要がない。"
"jp_car_0009","karimen_road_signs","topic_default","jp-warning.png","jp-warning.png","yes","補助標識に「大型車等」と表示されている規制標識は、普通自動車には適用されない。"
"jp_car_0010","karimen_road_signs","intersection","jp-intersection.png","jp-intersection.png","yes","「指定方向外進行禁止」の標識で右折の矢印のみが示されている場合、その地点では右折以外の進行はできない。"
"jp_car_0011","karimen_road_signs","warning","jp-warning.png","jp-warning.png","yes","信号機のない踏切の手前に設置されている「踏切あり」の警戒標識は、運転者に減速と注意を促すものである。"
"jp_car_0012","karimen_road_signs","expressway","jp-expressway.png","jp-expressway.png","yes","「自動車専用」の標識がある道路は、原動機付自転車や軽車両も通行することができる。"
"jp_car_0013","karimen_road_signs","pedestrian_crosswalk","jp-pedestrian-cross.png","jp-pedestrian-cross.png","yes","「横断歩道」の標識は、その地点に歩行者が道路を横断する場所があることを示している。"
"jp_car_0014","karimen_road_signs","no_overtaking","jp-no-overtaking.png","jp-no-overtaking.png","yes","「追越し禁止」の標識がある区間では、前車を追い越すことはできないが、進路変更だけであれば問題ない。"
"jp_car_0015","karimen_road_signs","topic_default","jp-warning.png","jp-warning.png","yes","「最大幅」を示す標識がある道路では、表示された幅を超える車幅の車両は通行できない。"
"jp_car_0016","karimen_right_of_way","intersection","jp-intersection.png","jp-intersection.png","yes","信号機のない交差点で道幅が同じくらいの場合、左方から来る車が右方から来る車より優先される。"
"jp_car_0017","karimen_right_of_way","intersection","jp-intersection.png","jp-intersection.png","yes","交差点で右折する車は、直進または左折する対向車よりも先に通行することができる。"
"jp_car_0018","karimen_right_of_way","stop","jp-stop.png","jp-stop.png","yes","緊急自動車が近づいてきたときは、交差点を避けて道路の左側に寄り一時停止しなければならない。"
"jp_car_0019","karimen_right_of_way","roundabout","jp-roundabout.png","jp-roundabout.png","yes","環状交差点（ラウンドアバウト）では、すでに環道内を走行している車が進入してくる車より優先される。"
"jp_car_0020","karimen_right_of_way","pedestrian_crosswalk","jp-pedestrian-cross.png","jp-pedestrian-cross.png","yes","横断歩道を渡ろうとしている歩行者がいる場合、車は必ず一時停止してその通行を妨げてはならない。"
"jp_car_0021","karimen_right_of_way","topic_default","jp-intersection.png","jp-intersection.png","yes","坂道で狭い道路ですれ違いが困難な場合、上りの車が下りの車に道を譲るのが原則である。"
"jp_car_0022","karimen_right_of_way","intersection","jp-intersection.png","jp-intersection.png","yes","通行禁止の規制がない狭い道路と広い道路が交わる場合、広い道路を走る車が優先される。"
"jp_car_0023","karimen_right_of_way","topic_default","jp-intersection.png","jp-intersection.png","yes","路面電車が後方から接近しているとき、軌道内を走行する車は速やかに軌道外へ出なければならない。"
"jp_car_0024","karimen_right_of_way","pedestrian_crosswalk","jp-pedestrian-cross.png","jp-pedestrian-cross.png","yes","歩行者が横断中の道路に車を進入させる場合、歩行者よりも自車の通過を優先させてもよい。"
"jp_car_0025","karimen_right_of_way","intersection","jp-intersection.png","jp-intersection.png","yes","交差点で警察官が手信号で交通整理をしている場合、信号機の表示よりも警察官の指示が優先される。"
"jp_car_0026","karimen_speed_limits_parking","speed_limit","jp-speed-limit.png","jp-speed-limit.png","yes","標識による速度規制がない一般道路での普通自動車の最高速度は、法定で時速60キロメートルである。"
"jp_car_0027","karimen_speed_limits_parking","parking","jp-parking.png","jp-parking.png","yes","消火栓から3メートル以内の場所は、駐車だけでなく停車も禁止されている。"
"jp_car_0028","karimen_speed_limits_parking","speed_limit","jp-speed-limit.png","jp-speed-limit.png","yes","「最高速度40キロ」の補助標識がついた標識のある道路では、雨天時には50キロまで速度を上げてよい。"
