id,topic,syllabus_ref,difficulty,prompt_en,prompt_my,choice_a_en,choice_b_en,choice_c_en,choice_a_my,choice_b_my,choice_c_my,correct_answer,explanation_en,explanation_my,image_filename,media_src,verified,reviewer_notes
sg_rtt_0001,road_signs_signals,,easy,A circular sign with a red border and a motorcycle symbol inside means what?,အနီရောင်အနားသတ်ပါသော စက်ဝိုင်းဆိုင်းဘုတ်အတွင်း ဆိုင်ကယ်ပုံပါရှိလျှင် ဘာကို ဆိုလိုသလဲ။,Motorcycles are prohibited from entering,Motorcycle parking only,Motorcycle repair shop ahead,ဆိုင်ကယ်များ ဝင်ခွင့်မရှိ,ဆိုင်ကယ်ရပ်နားရန် နေရာသာ,ရှေ့တွင် ဆိုင်ကယ်ပြင်ဆိုင်ရှိသည်,A,A red-bordered circular sign is a prohibition sign; with a motorcycle symbol it bans motorcycles from that road or area.,အနီရောင်အနားသတ်ပါသော စက်ဝိုင်းဆိုင်းဘုတ်သည် တားမြစ်ဆိုင်းဘုတ်ဖြစ်ပြီး ဆိုင်ကယ်ပုံပါလျှင် ထိုလမ်း သို့မဟုတ် နေရာတွင် ဆိုင်ကယ်များ ဝင်ခွင့်မရှိကြောင်း ဆိုလိုသည်။,,,PENDING,
sg_rtt_0002,road_signs_signals,,easy,A triangular sign with a red border generally indicates what type of message?,အနီရောင်အနားသတ်ပါသော တြိဂံပုံဆိုင်းဘုတ်သည် ပုံမှန်အားဖြင့် မည်သည့်အမျိုးအစားအချက်ပြသလဲ။,A warning of a hazard ahead,A mandatory instruction that must be obeyed,Information about nearby facilities,ရှေ့တွင်ရှိသော အန္တရာယ်အကြောင်း သတိပေးချက်,လိုက်နာရမည့် မဖြစ်မနေညွှန်ကြားချက်,အနီးအနားရှိ အဆောက်အအုံများအကြောင်း သတင်းအချက်အလက်,A,Triangular signs with a red border are warning signs that alert riders to hazards or changing road conditions ahead.,အနီရောင်အနားသတ်ပါသော တြိဂံပုံဆိုင်းဘုတ်များသည် ရှေ့တွင်ရှိသော အန္တရာယ် သို့မဟုတ် လမ်းအခြေအနေပြောင်းလဲမှုများအတွက် ယာဉ်မောင်းသူများကို သတိပေးသည်။,,,PENDING,
sg_rtt_0003,road_signs_signals,,easy,A round blue sign with a white arrow pointing left means what?,အပြာရောင်စက်ဝိုင်းအတွင်း ဘယ်ဘက်သို့ ညွှန်နေသော အဖြူရောင်မြှားသည် ဘာကို ဆိုလိုသလဲ။,You must turn or proceed left only,Turning left is forbidden,Left lane is for buses only,ဘယ်ဘက်သို့သာ ကွေ့ရမည် သို့မဟုတ် ဆက်သွားရမည်,ဘယ်ဘက် ကွေ့ခွင့်မရှိ,ဘယ်ဘက်လိုင်းသည် ဘတ်စ်ကားအတွက်သာ,A,Blue circular signs are mandatory instruction signs; a white arrow means the rider must follow that direction only.,အပြာရောင် စက်ဝိုင်းဆိုင်းဘုတ်များသည် မဖြစ်မနေလိုက်နာရမည့် ညွှန်ကြားချက်ဆိုင်းဘုတ်များဖြစ်ပြီး အဖြူရောင်မြှားသည် ထိုလမ်းကြောင်းကိုသာ လိုက်ရမည်ကို ဆိုလိုသည်။,,,PENDING,
sg_rtt_0004,road_signs_signals,,medium,You see a warning sign showing a motorcycle skidding on a wavy line. What should you do?,လှိုင်းကွေးမျဉ်းပေါ် ဆိုင်ကယ်တစ်စီး ချောချွတ်နေသည့်ပုံပါသော သတိပေးဆိုင်းဘုတ်ကို မြင်လျှင် ဘာလုပ်သင့်သလဲ။,Slow down and ride cautiously as the road surface ahead may be slippery,Accelerate quickly to pass the slippery section,Ignore it; it only applies to cars,ရှေ့လမ်းမျက်နှာပြင်သည် ချော်လွယ်နိုင်သောကြောင့် မြန်နှုန်းလျှော့ပြီး သတိနှင့်မောင်းပါ,ချော်လွယ်သောနေရာကို မြန်မြန်ဖြတ်သွားရန် အမြန်မောင်းပါ,ဂရုမစိုက်ပါနှင့်၊ ကားများအတွက်သာဖြစ်သည်,A,This warning sign indicates a slippery road; riders should reduce speed and avoid sudden braking or steering to prevent skidding.,ဒီသတိပေးဆိုင်းဘုတ်သည် ချော်လွယ်သောလမ်းကို ဆိုလိုသောကြောင့် ယာဉ်မောင်းသူများသည် မြန်နှုန်းလျှော့ပြီး ရုတ်တရက် ဘရိတ်ကိုက် သို့မဟုတ် လှည့်ခြင်းကို ရှောင်ရှားသင့်သည်။,,,PENDING,
sg_rtt_0005,road_signs_signals,,easy,What does a yellow diamond-shaped sign with a black T-junction symbol mean?,အနက်ရောင် T-လမ်းဆုံပုံပါသော အဝါရောင်စိန်ပုံဆိုင်းဘုတ်သည် ဘာကို ဆိုလိုသလဲ။,A T-junction is ahead,The road ends in a roundabout,Three lanes merge ahead,ရှေ့တွင် T-လမ်းဆုံရှိသည်,လမ်းသည် အလှည့်ဝန်းတွင် ဆုံးသည်,ရှေ့တွင် လမ်းကြောသုံးကြောင်း ပေါင်းစည်းသည်,A,"This warning sign alerts riders that the road they are on ends ahead at a T-junction, requiring a turn left or right.",ဒီသတိပေးဆိုင်းဘုတ်သည် မောင်းနှင်နေသောလမ်းသည် ရှေ့တွင် T-လမ်းဆုံတွင် ဆုံးသွားမည်ဖြစ်ပြီး ဘယ် သို့မဟုတ် ညာ ကွေ့ရန် လိုအပ်ကြောင်း သတိပေးသည်။,,,PENDING,
sg_rtt_0006,road_signs_signals,,medium,"At a junction, the traffic light shows a steady amber after green. What should a rider do?",လမ်းဆုံတွင် မီးစိမ်းပြီးနောက် မီးဝါ တည်ငြိမ်စွာ ပြသည်။ ယာဉ်မောင်းသူ ဘာလုပ်သင့်သလဲ။,Stop if it is safe to do so; proceed only if already too close to stop safely,Always accelerate to cross before it turns red,"Amber means stop only for cars, not motorcycles",ဘေးကင်းစွာ ရပ်နိုင်လျှင် ရပ်ပါ၊ ရပ်ရန်မဖြစ်နိုင်အောင် နီးကပ်နေပါမှသာ ဆက်သွားပါ,မီးနီမပြောင်းခင် ဖြတ်ရန် အမြဲတမ်း အရှိန်မြှင့်ပါ,မီးဝါသည် ကားများအတွက်သာ ရပ်ရန်ဖြစ်သည်၊ ဆိုင်ကယ်အတွက် မဟုတ်,A,"A steady amber light means stop unless you are so close that stopping safely is not possible, in which case proceed with caution.",တည်ငြိမ်သော မီးဝါသည် ဘေးကင်းစွာ ရပ်နိုင်ခြင်း မရှိပါက လွဲ၍ ရပ်ရမည်ကို ဆိုလိုသည်၊ ထိုအခြေအနေတွင် သတိနှင့် ဆက်သွားနိုင်သည်။,,,PENDING,
sg_rtt_0007,road_signs_signals,,easy,A police officer at a junction raises one arm straight up. What does this mean for riders facing the officer?,လမ်းဆုံတွင် ရဲတစ်ဦးက လက်တစ်ဖက်ကို ဖြောင့်တန်းစွာ အပေါ်သို့ထောင်လျှင် ရဲကိုမျက်နှာချင်းဆိုင်နေသော ယာဉ်မောင်းသူများအတွက် ဘာကိုဆိုလိုသလဲ။,Stop,Proceed straight ahead,Turn left only,ရပ်ပါ,တည့်တည့်ဆက်သွားပါ,ဘယ်ဘက်သို့သာ ကွေ့ပါ,A,An officer raising one arm straight up is a signal for all traffic facing and behind the officer to stop.,ရဲတစ်ဦး လက်တစ်ဖက်ကို ဖြောင့်တန်းစွာ အပေါ်သို့ထောင်ခြင်းသည် ရဲကို မျက်နှာချင်းဆိုင်နေသော နှင့် နောက်ကျောဘက်ရှိ ယာဉ်အားလုံး ရပ်ရမည်ကို အချက်ပြခြင်းဖြစ်သည်။,,,PENDING,
sg_rtt_0008,road_signs_signals,,medium,What does a rider signal by extending the right arm straight out horizontally?,ညာဘက်လက်ကို ဘေးတိုက်ဖြောင့်တန်းညှင်းလျှင် ယာဉ်မောင်းသူက ဘာအချက်ပြသလဲ။,Intention to turn right,Intention to stop,Intention to slow down only,ညာဘက်ကွေ့မည်ဟု ရည်ရွယ်ချက်,ရပ်မည်ဟု ရည်ရွယ်ချက်,မြန်နှုန်းလျှော့ရုံသာ ရည်ရွယ်ချက်,A,"Extending the right arm straight out horizontally is the hand signal for an intended right turn, used when indicators are not visible or as reinforcement.",ညာဘက်လက်ကို ဘေးတိုက်ဖြောင့်တန်းညှင်းခြင်းသည် မီးပြမမြင်ရသောအခါ သို့မဟုတ် အားဖြည့်အချက်ပြရန် ညာဘက်ကွေ့မည့် လက်အချက်ပြဖြစ်သည်။,,,PENDING,
sg_rtt_0009,road_signs_signals,,easy,A blue rectangular sign showing a white 'P' with a red diagonal bar through it means what?,အဖြူရောင် 'P' စာလုံးနှင့် အနီရောင်ဖြတ်မျဉ်းပါသော အပြာရောင် စတုဂံဆိုင်းဘုတ်သည် ဘာကိုဆိုလိုသလဲ။,No parking,Parking allowed for motorcycles only,Paid parking ahead,ရပ်နားခွင့်မရှိ,ဆိုင်ကယ်များအတွက်သာ ရပ်နားခွင့်ရှိသည်,ငွေပေးချေရမည့် ရပ်နားနေရာ ရှေ့တွင်ရှိသည်,A,A 'P' with a diagonal bar through it indicates that parking is not allowed in that area.,'P' စာလုံးကို ဖြတ်မျဉ်းဖြတ်ထားလျှင် ထိုနေရာတွင် ရပ်နားခွင့်မရှိကြောင်း ဆိုလိုသည်။,,,PENDING,
sg_rtt_0010,road_signs_signals,,medium,What does a sign showing a steep upward arrow with the figure '10%' mean for a rider?,'10%' ဂဏန်းနှင့်အတူ ရှေ့သို့ မြင့်တက်နေသော မြှားပုံဆိုင်းဘုတ်သည် ယာဉ်မောင်းသူအတွက် ဘာကို ဆိုလိုသလဲ။,A steep gradient ahead; adjust speed and gear before climbing or descending,A speed bump ahead,A 10 km speed limit zone,ရှေ့တွင် တောင်ကုန်းစောက်ရှိသည်၊ တက်/ဆင်းမီ မြန်နှုန်းနှင့် ဂီယာကို ညှိပါ,ရှေ့တွင် မြန်နှုန်းလျှော့ကုန်းရှိသည်,10 km/h အမြန်နှုန်းကန့်သတ်ဇုန်,A,"This sign warns of a steep gradient; riders should reduce speed and select an appropriate gear in advance, since steep slopes affect motorcycle balance and braking.",ဒီဆိုင်းဘုတ်သည် တောင်ကုန်းစောက်ရှိကြောင်း သတိပေးသည်၊ စောက်သောကုန်းများသည် ဆိုင်ကယ်၏ ထိန်းချုပ်မှုနှင့် ဘရိတ်ကိုက်မှုကို ထိခိုက်စေသောကြောင့် ယာဉ်မောင်းသူသည် မြန်နှုန်းလျှော့ပြီး သင့်လျော်သော ဂီယာကို ကြိုတင်ရွေးချယ်သင့်သည်။,,,PENDING,
