id,syllabusRef,topic,media_src,media_file,prompt_en,answer_index,correct_choice_en
"sg_rtt_0001","","road_signs_signals","/signs/sg/no-entry.png","no-entry.png","A circular sign with a red border and a motorcycle symbol inside means what?","0","Motorcycles are prohibited from entering"
"sg_rtt_0002","","road_signs_signals","/signs/sg/warning-sign.png","warning-sign.png","A triangular sign with a red border generally indicates what type of message?","0","A warning of a hazard ahead"
"sg_rtt_0003","","road_signs_signals","/signs/sg/mandatory-sign.png","mandatory-sign.png","A round blue sign with a white arrow pointing left means what?","0","You must turn or proceed left only"
"sg_rtt_0004","","road_signs_signals","/signs/sg/wet-road.png","wet-road.png","You see a warning sign showing a motorcycle skidding on a wavy line. What should you do?","0","Slow down and ride cautiously as the road surface ahead may be slippery"
"sg_rtt_0005","","road_signs_signals","/signs/sg/junction.png","junction.png","What does a yellow diamond-shaped sign with a black T-junction symbol mean?","0","A T-junction is ahead"
"sg_rtt_0006","","road_signs_signals","/signs/sg/traffic-light.png","traffic-light.png","At a junction, the traffic light shows a steady amber after green. What should a rider do?","0","Stop if it is safe to do so; proceed only if already too close to stop safely"
"sg_rtt_0007","","road_signs_signals","/signs/sg/junction.png","junction.png","A police officer at a junction raises one arm straight up. What does this mean for riders facing the","0","Stop"
"sg_rtt_0008","","road_signs_signals","/signs/sg/motorcycle-city.png","motorcycle-city.png","What does a rider signal by extending the right arm straight out horizontally?","0","Intention to turn right"
"sg_rtt_0009","","road_signs_signals","/signs/sg/parking-sign.png","parking-sign.png","A blue rectangular sign showing a white 'P' with a red diagonal bar through it means what?","0","No parking"
"sg_rtt_0010","","road_signs_signals","/signs/sg/warning-sign.png","warning-sign.png","What does a sign showing a steep upward arrow with the figure '10%' mean for a rider?","0","A steep gradient ahead; adjust speed and gear before climbing or descending"
"sg_rtt_0011","","road_signs_signals","/signs/sg/traffic-light.png","traffic-light.png","You approach a junction with flashing red traffic lights but no officer present. What is the correct","0","Treat it like a stop sign: stop fully, then proceed only when safe"
"sg_rtt_0012","","road_signs_signals","/signs/sg/no-entry.png","no-entry.png","A round sign with a black motorcycle on a white background and red border, with no other marking, ge","0","Restriction or hazard specifically concerning motorcycles"
"sg_rtt_0013","","road_signs_signals","/signs/sg/roundabout.png","roundabout.png","What does a sign showing two opposing arrows curving around each other indicate?","0","A roundabout ahead"
"sg_rtt_0014","","road_signs_signals","/signs/sg/expressway.png","expressway.png","A green rectangular sign with a white arrow and text showing a place name is what kind of sign?","0","An informatory/direction sign"
"sg_rtt_0015","","road_signs_signals","/signs/sg/warning-sign.png","warning-sign.png","What does a sign with a black exclamation mark in a yellow triangle, placed with no other symbol, ge","0","A general hazard not covered by a specific symbol"
"sg_rtt_0016","","road_signs_signals","/signs/sg/pedestrian-crossing.png","pedestrian-crossing.png","At an unsignalised pedestrian crossing, a pedestrian is waiting at the curb but has not stepped onto","0","Slow down and be prepared to stop in case the pedestrian steps onto the crossing"
"sg_rtt_0017","","road_signs_signals","/signs/sg/stop.png","stop.png","What does an octagonal red sign with the word 'STOP' require?","0","Come to a complete stop and proceed only when safe"
"sg_rtt_0018","","road_signs_signals","/signs/sg/highway.png","highway.png","A sign shows a motorcycle and a car side by side with an arrow merging into one lane. What does this","0","Lanes are merging ahead; merge carefully and watch for other vehicles"
"sg_rtt_0019","","road_signs_signals","/signs/sg/no-overtaking.png","no-overtaking.png","A sign with a bicycle symbol inside a red circle with a diagonal bar means what?","0","Bicycles are not allowed on this road"
"sg_rtt_0020","","road_signs_signals","/signs/sg/motorcycle-city.png","motorcycle-city.png","What does it mean when a rider ahead of you extends their left arm and moves it up and down?","0","Slowing down or stopping"
"sg_rtt_0021","","road_signs_signals","/signs/sg/traffic-light.png","traffic-light.png","A flashing amber arrow at a signalised junction allows you to turn in that direction provided what c","0","You give way to pedestrians and oncoming traffic before turning"
