id,topic,syllabus_ref,difficulty,prompt_en,prompt_my,choice_a_en,choice_b_en,choice_c_en,choice_a_my,choice_b_my,choice_c_my,correct_answer,explanation_en,explanation_my,image_filename,media_src,verified,reviewer_notes
sg_btt_0001,road_signs,btt.signs.mandatory,easy,You approach a one-way street entrance and see a red circle with a white horizontal bar. What must you do?,တစ်လမ်းသွား လမ်း ဝင်ပေါက် ကို ချဉ်းကပ်ပြီး အဖြူရောင် အလျားတန်း ပါသော အနီရောင် စက်ဝိုင်း ဆိုင်းဘုတ် မြင်ရပါသည်။ ဘာလုပ်ရမလဲ?,No entry for all vehicles,No parking at any time,One-way street ahead,ယာဉ်အားလုံး ဝင်ခွင့်မရှိ,အချိန်မရွေး ရပ်နားခွင့်မရှိ,ရှေ့တွင် တစ်လမ်းသွား,A,A red circle with a white horizontal bar means no vehicles may enter.,အဖြူရောင်အလျားတန်းပါသော အနီရောင်စက်ဝိုင်းသည် ယာဉ်များ ဝင်ခွင့်မရှိ။,no-entry.png,/signs/sg/no-entry.png,PENDING,
sg_btt_0002,speed_limits,btt.signs.regulatory,easy,What is the default speed limit on this type of road unless a sign states otherwise?,ဆိုင်းဘုတ်က အခြားနည်း မဖော်ပြလျှင် ဒီလမ်းအမျိုးအစားတွင် ပုံသေ အမြန်နှုန်းကန့်သတ်ချက်မှာ ဘယ်လောက်လဲ။,50 km/h,70 km/h,90 km/h,၅၀ km/h,၇၀ km/h,၉၀ km/h,A,"Unless signposted otherwise, the default speed limit on most Singapore roads is 50 km/h.",ဆိုင်းဘုတ်က အခြားနည်း မဖော်ပြလျှင် Singapore လမ်းအများစု၏ ပုံသေ အမြန်နှုန်းမှာ ၅၀ km/h ဖြစ်သည်။,speed-50.png,/signs/sg/speed-50.png,PENDING,
sg_btt_0003,right_of_way,btt.signs.mandatory,medium,"At this unmarked junction, which vehicle should give way?",ဒီအမှတ်အသားမဲ့ လမ်းဆုံတွင် ဘယ်ယာဉ်က လမ်းဖယ်ပေးရမည်လဲ။,The vehicle turning across oncoming traffic,The vehicle going straight ahead,Neither — larger vehicle has priority,ဆန့်ကျင်ဘက်ယာဉ်ကြောကို ဖြတ်ကျော်ကွေ့သော ယာဉ်,တည့်တည့်သွားသော ယာဉ်,နှစ်စီးလုံးမဟုတ် — ယာဉ်ကြီးက ဦးစားပေး,A,A vehicle turning across the path of oncoming traffic must give way to vehicles going straight.,ဆန့်ကျင်ဘက်ယာဉ်ကြော၏ လမ်းကြောင်းကို ဖြတ်ကွေ့သော ယာဉ်သည် တည့်တည့်သွားသော ယာဉ်များကို လမ်းဖယ်ပေးရမည်။,junction.png,/signs/sg/junction.png,PENDING,
sg_btt_0004,road_signs,btt.signs.warning,easy,You approach a sharp left bend on Bukit Timah Road. A triangular warning sign with a red border is posted before the bend. What should you do?,Bukit Timah လမ်းပေါ်တွင် ဘယ်ဘက်ကောက်ကွေ့သို့ ချဉ်းကပ်နေသည်။ ကောက်ကွေ့မတိုင်မီ အနီရောင်နယ်နိမိတ်ပါ တြိဂံသတိပေးဆိုင်းဘုတ် တပ်ထားသည်။ သင် ဘာလုပ်သင့်သလဲ။,Reduce speed and be prepared for the bend,Maintain speed because the sign is only informational,Overtake slower vehicles before the bend,အမြန်နှုန်းလျှော့ချပြီး ကောက်ကွေ့အတွက် ပြင်ဆင်ပါ,ဆိုင်းဘုတ်သည် သတင်းအချက်အလက်သာဖြစ်သောကြောင့် အမြန်နှုန်းထိန်းပါ,ကောက်ကွေ့မတိုင်မီ နှေးသော ယာဉ်များကို ကျော်တက်ပါ,A,Warning signs alert you to hazards ahead. Slow down before a sharp bend so you can steer safely without crossing into oncoming traffic.,သတိပေးဆိုင်းဘုတ်များသည် ရှေ့တွင် အန္တရာယ်ရှိကြောင်း သတိပေးသည်။ ကောက်ကွေ့တွင် ဆန့်ကျင်ဘက်ယာဉ်ကြောင်းသို့ ဖြတ်မသွားနိုင်ရန် ဘေးကင်းစွာ လှည့်နိုင်အောင် ကောက်ကွေ့မတိုင်မီ အမြန်နှုန်းလျှော့ချပါ။,warning-sign.png,/signs/sg/warning-sign.png,PENDING,
sg_btt_0005,road_signs,btt.signs.mandatory,easy,Which of the following best describes a mandatory instruction sign in Singapore?,စင်္ကာပူတွင် မဖြစ်မနေ လိုက်နာရမည့် ညွှန်ကြားချက်ဆိုင်းဘုတ်ကို အကောင်းဆုံး ဖော်ပြသောအချက်မှာ ဘယ်ဒါလဲ?,Blue circle — you must comply with the instruction shown,Red triangle — warns of a hazard ahead,Red circle — prohibits a specific action,အပြာရောင်စက်ဝိုင်း — ပြထားသော ညွှန်ကြားချက်ကို မဖြစ်မနေ လိုက်နာရမည်,အနီရောင်တြိဂံ — ရှေ့တွင် အန္တရာယ်ရှိကြောင်း သတိပေးသည်,အနီရောင်စက်ဝိုင်း — တစ်ခုခုကို တားမြစ်သည်,A,"Mandatory signs in Singapore are blue circles. They tell drivers what they MUST do (e.g. keep left, turn left ahead). Unlike prohibitory signs (red circles), mandatory signs give a positive instruction.",စင်္ကာပူတွင် မဖြစ်မနေ လိုက်နာရမည့် ဆိုင်းဘုတ်များသည် အပြာရောင်စက်ဝိုင်းများ ဖြစ်သည်။ ယင်းတို့သည် ယာဉ်မောင်းသူများ မဖြစ်မနေ ဆောင်ရွက်ရမည့်အရာများကို ညွှန်ပြသည်။,mandatory-sign.png,/signs/sg/mandatory-sign.png,PENDING,
sg_btt_0006,road_signs,btt.signs.prohibitory,medium,What does a sign showing a black car overtaking inside a red circle (with a red diagonal line) mean?,အနီရောင်စက်ဝိုင်း (ဖြတ်ကျော်မျဉ်းပါ) အတွင်း ကားတစ်စီးကို ကျော်တက်နေသည့်ပုံ ပါသော ဆိုင်းဘုတ်သည် ဘာကို ဆိုလိုသလဲ။,No overtaking allowed,Overtaking lane ahead,Two-way traffic ahead,ကျော်တက်ခွင့်မရှိ,ရှေ့တွင် ကျော်တက်ရန်လိုင်း,ရှေ့တွင် နှစ်လမ်းသွားယာဉ်ကြော,A,This regulatory sign prohibits overtaking other vehicles on that stretch of road.,ဒီစည်းမျဉ်းဆိုင်းဘုတ်သည် ထိုလမ်းပိုင်းတွင် အခြားယာဉ်များကို ကျော်တက်ခြင်းကို တားမြစ်သည်။,no-overtaking.png,/signs/sg/no-overtaking.png,PENDING,
sg_btt_0007,road_signs,btt.signs.pedestrian,easy,A blue rectangular sign with a white 'P' typically indicates what?,အဖြူရောင် 'P' စာလုံးပါသော အပြာရောင်ထောင့်မှန်ဆိုင်းဘုတ်သည် များသောအားဖြင့် ဘာကို ဆိုလိုတာလဲ။,A designated parking area,A pedestrian crossing,A petrol station 5 km away,သတ်မှတ်ထားသော ရပ်နားရန်ဧရိယာ,လူကူးမျဉ်း,၅ ကီလိုမီတာအကွာရှိ ဆီဆိုင်,A,The blue 'P' sign is an informatory sign showing drivers where they are permitted to park.,အပြာရောင် 'P' ဆိုင်းဘုတ်သည် ယာဉ်မောင်းသူများ ရပ်နားနိုင်သည့်နေရာကို ပြသော အချက်အလက်ဆိုင်းဘုတ်ဖြစ်သည်။,warning-sign.png,/signs/sg/warning-sign.png,PENDING,
sg_btt_0008,road_signs,btt.signs.mandatory,medium,You are driving on a priority road marked with yellow diamond signs. A car pulls out from a side road on your right without stopping. What is the safest response?,ဝါရောင်စိန်ပုံဆိုင်းဘုတ်များဖြင့် ဦးစားပေးလမ်းအဖြစ် အမှတ်အသားပြုထားသော လမ်းပေါ်တွင် မောင်းနှင်နေသည်။ သင်၏ညာဘက်မှ ဘေးလမ်းတစ်ခုမှ ကား ရပ်မဘဲ ထွက်လာသည်။ အဘေးကင်းဆုံးတုံ့ပြန်မှု ဘာဖြစ်သလဲ။,Brake if needed to avoid a collision — the side-road driver should have given way,Continue at the same speed because you always have absolute right of way,Sound your horn and accelerate past the other car,တိုက်မိမှု ရှောင်ရန် လိုအပ်လျှင် ဘရိတ်နင်းပါ — ဘေးလမ်းမှ ယာဉ်မောင်းသည် လမ်းပေးရမည်ဖြစ်သည်,အမြဲတမ်း လုံးဝ ဦးစားပေးခွင့်ရှိသောကြောင့် အမြန်နှုန်းတူဆက်မောင်းပါ,ဟွန်းတီးပြီး အခြားကားကို ကျော်တက်ပါ,A,"On a priority road, traffic from side roads must give way to you. However, you must still be ready to brake — never assume other drivers will obey the rules.",ဦးစားပေးလမ်းပေါ်တွင် ဘေးလမ်းမှ ယာဉ်များသည် သင်ကို လမ်းပေးရမည်။ သို့သော် အခြားယာဉ်မောင်းများ စည်းမျဉ်းလိုက်နာမည်ဟု မယုံကြည်ဘဲ ဘရိတ်နိုင်ရန် အမြဲပြင်ဆင်ထားပါ။,warning-sign.png,/signs/sg/warning-sign.png,PENDING,
sg_btt_0009,road_signs,btt.signs.regulatory,easy,A round white sign with a black diagonal line through it usually means what?,အနက်ရောင် ဖြတ်ကျော်မျဉ်းပါသော အဝိုင်းပုံ အဖြူရောင်ဆိုင်းဘုတ်သည် များသောအားဖြင့် ဘာကိုဆိုလိုသလဲ။,End of a previously imposed restriction,Start of a new speed limit,Compulsory stop ahead,ယခင်သတ်မှတ်ထားသော ကန့်သတ်ချက် ပြီးဆုံးခြင်း,အမြန်နှုန်းကန့်သတ်ချက်အသစ် စတင်ခြင်း,ရှေ့တွင် မဖြစ်မနေ ရပ်ရမည်,A,"A diagonal black bar on a plain white circle commonly marks the end of a restriction, such as a derestriction zone.",ရိုးရှင်းသော အဖြူရောင်အဝိုင်းပေါ်ရှိ အနက်ရောင်ဖြတ်ကျော်မျဉ်းသည် ကန့်သတ်ချက်တစ်ခု ပြီးဆုံးကြောင်းကို ပုံမှန်ဖော်ပြသည်။,warning-sign.png,/signs/sg/warning-sign.png,PENDING,
sg_btt_0010,road_signs,btt.signs.signals,medium,Which traffic light sequence is correct in Singapore (from stop to go)?,Singapore တွင် ရပ်မှ သွားသို့ မှန်ကန်သော မီးလုံးအစီအစဉ်မှာ အောက်ပါတို့အနက် ဘယ်ခုလဲ။,Red → Red and Amber → Green,Red → Green → Amber,Amber → Red → Green,အနီ → အနီနှင့်ရွှေဝါ → အစိမ်း,အနီ → အစိမ်း → ရွှေဝါ,ရွှေဝါ → အနီ → အစိမ်း,A,"Singapore traffic lights move from red, to red-and-amber together (prepare to move), then to green.",Singapore ၏ မီးလုံးများသည် အနီမှ၊ အနီနှင့်ရွှေဝါ အတူတကွ (ထွက်ရန်ပြင်ဆင်ရန်)၊ ပြီးမှ အစိမ်းသို့ ပြောင်းသည်။,traffic-light.png,/signs/sg/traffic-light.png,PENDING,
